Age,Budget,Interet,Duree,Climat,Destination
32,500,Nature,8,Chaud,Le Cap
27,1219,Megalopole,9,Tempéré,Sydney
37,1943,Culture,9,Chaud,Marrakech
48,1722,Culture,12,Chaud,Londres
38,2878,Ile,6,Froid,Paris
18,1329,Historique,14,Tempéré,Le Caire
52,2557,Megalopole,5,Froid,Santorin
37,2283,Megalopole,14,Froid,Bangkok
18,1227,Megalopole,11,Chaud,Sydney
26,1243,Plage,15,Froid,Prague
50,2241,Plage,3,Chaud,Le Caire
18,1457,Aventure,6,Froid,Santorin
47,1779,Megalopole,6,Froid,Machu Picchu
47,2872,Culture,3,Tempéré,Marrakech
33,2915,Plage,14,Chaud,Santorin
48,3491,Megalopole,9,Chaud,Bangkok
23,2410,Aventure,12,Tempéré,Bangkok
32,1102,Culture,15,Tempéré,Los Angeles
58,3763,Historique,4,Froid,Prague
42,2465,Megalopole,7,Tempéré,Sydney
41,3495,Aventure,8,Froid,Cancun
53,4370,Aventure,11,Froid,Tokyo
37,1696,Nature,4,Froid,Le Cap
29,1686,Aventure,9,Froid,Patagonie
41,2997,Ile,8,Froid,Bali
33,2861,Megalopole,4,Chaud,Bangkok
36,500,Megalopole,6,Froid,Amsterdam
26,2214,Historique,4,Tempéré,Le Caire
32,2197,Nature,12,Chaud,Le Cap
42,1766,Aventure,6,Chaud,Dubai
63,4112,Megalopole,21,Tempéré,New York
43,911,Aventure,5,Tempéré,Kyoto
43,2848,Culture,5,Tempéré,Marrakech
38,3115,Nature,30,Chaud,Dubai
21,1778,Plage,3,Tempéré,New York
45,2852,Ile,8,Froid,Amsterdam
24,2230,Historique,3,Tempéré,Le Caire
39,4123,Megalopole,4,Tempéré,New York
56,3717,Historique,7,Tempéré,Machu Picchu
18,969,Ile,10,Tempéré,Le Cap
42,2524,Megalopole,5,Tempéré,Iles Galapagos
38,3978,Aventure,10,Tempéré,Queenstown
53,2217,Plage,5,Tempéré,Bangkok
30,1937,Nature,9,Froid,Cancun
32,2277,Megalopole,3,Froid,Los Angeles
35,2113,Plage,17,Chaud,Cancun
26,1178,Culture,10,Froid,Machu Picchu
18,699,Plage,7,Chaud,Cancun
36,3126,Ile,11,Tempéré,Santorin
21,1243,Ile,4,Tempéré,Santorin
58,3751,Culture,4,Froid,Rome
30,2866,Aventure,18,Chaud,Vancouver
37,2803,Culture,6,Tempéré,Sydney
28,2033,Megalopole,4,Chaud,Bali
21,1058,Megalopole,7,Froid,Bangkok
28,2024,Plage,6,Tempéré,Buenos Aires
21,1548,Culture,18,Tempéré,Barcelone
41,2001,Aventure,20,Froid,Queenstown
41,3276,Historique,6,Chaud,Rome
36,3068,Culture,3,Froid,Amsterdam
32,1297,Nature,3,Froid,Le Cap
19,1024,Plage,9,Tempéré,Buenos Aires
48,2280,Aventure,4,Chaud,Zanzibar
48,984,Plage,9,Chaud,Rio de Janeiro
47,3865,Plage,6,Tempéré,Santorin
32,2151,Plage,3,Tempéré,Tokyo
43,4639,Historique,9,Chaud,Marrakech
53,2759,Aventure,6,Froid,Cancun
33,1898,Megalopole,5,Froid,Sydney
18,1636,Ile,3,Tempéré,Sydney
44,4145,Megalopole,6,Tempéré,Bangkok
37,1578,Nature,4,Tempéré,Vancouver
44,3868,Megalopole,6,Tempéré,Tokyo
55,4866,Nature,3,Tempéré,Le Cap
56,2611,Plage,5,Chaud,Barcelone
30,1689,Megalopole,4,Froid,Londres
42,1592,Aventure,5,Tempéré,Patagonie
18,500,Historique,15,Chaud,Bora Bora
40,2048,Nature,4,Froid,Machu Picchu
38,3824,Culture,10,Froid,Barcelone
55,4067,Culture,6,Chaud,Buenos Aires
44,3326,Historique,4,Froid,Machu Picchu
35,549,Megalopole,11,Froid,Machu Picchu
46,2844,Nature,7,Froid,Vancouver
35,3489,Nature,6,Froid,Rome
42,4031,Historique,18,Froid,Prague
28,1401,Nature,4,Chaud,Rio de Janeiro
45,1891,Historique,14,Chaud,Santorin
35,1239,Megalopole,8,Tempéré,Rio de Janeiro
38,2122,Ile,7,Tempéré,Kyoto
29,2226,Culture,5,Froid,Amsterdam
39,3573,Aventure,15,Froid,Paris
18,2065,Culture,10,Chaud,Le Cap
42,982,Megalopole,3,Froid,Dubai
21,1121,Plage,11,Tempéré,Barcelone
62,5334,Ile,5,Tempéré,Kyoto
52,2091,Aventure,7,Chaud,Los Angeles
35,1693,Historique,4,Chaud,Le Caire
44,4175,Nature,9,Tempéré,Vancouver
38,1668,Historique,7,Chaud,Sydney
29,1738,Nature,4,Chaud,Le Cap
51,3544,Plage,3,Chaud,Marrakech
27,1247,Ile,3,Froid,Londres
37,2349,Nature,8,Tempéré,Kyoto
38,2520,Aventure,6,Froid,Machu Picchu
24,2189,Historique,6,Chaud,Le Caire
25,2299,Megalopole,6,Froid,Bangkok
29,3976,Megalopole,3,Tempéré,Tokyo
48,3665,Ile,7,Tempéré,Buenos Aires
18,1529,Historique,5,Froid,Le Caire
49,1886,Ile,14,Chaud,Rome
18,1957,Aventure,16,Tempéré,Machu Picchu
38,559,Plage,6,Tempéré,Buenos Aires
45,4283,Culture,11,Chaud,Buenos Aires
41,4909,Megalopole,8,Froid,Prague
38,1038,Plage,18,Froid,Cancun
35,1231,Culture,11,Chaud,Amsterdam
29,1222,Ile,16,Tempéré,Bali
49,3617,Culture,3,Froid,Buenos Aires
33,3913,Megalopole,12,Chaud,Dubai
30,556,Ile,6,Tempéré,Bali
27,1607,Plage,3,Chaud,Cancun
24,1477,Megalopole,8,Chaud,Los Angeles
26,1291,Culture,6,Chaud,Barcelone
31,3275,Ile,4,Tempéré,Tokyo
24,997,Culture,9,Tempéré,Bora Bora
47,1913,Ile,3,Chaud,Santorin
53,2857,Ile,6,Froid,Santorin
49,3830,Historique,12,Froid,Machu Picchu
32,2265,Aventure,4,Froid,Queenstown
25,500,Historique,5,Froid,Machu Picchu
50,3841,Historique,11,Froid,Machu Picchu
42,3610,Aventure,10,Tempéré,Queenstown
45,549,Ile,11,Froid,Bora Bora
41,880,Nature,8,Chaud,Iles Galapagos
40,2600,Plage,9,Tempéré,Barcelone
46,2373,Aventure,8,Chaud,Patagonie
52,5259,Ile,13,Tempéré,Bora Bora
48,2574,Aventure,11,Froid,Patagonie
21,2148,Aventure,13,Froid,Barcelone
20,1342,Ile,3,Chaud,Barcelone
22,2590,Historique,15,Froid,Queenstown
42,3508,Megalopole,6,Froid,Sydney
45,4728,Nature,6,Froid,Patagonie
32,1488,Ile,8,Froid,Bali
44,4166,Aventure,7,Tempéré,Dubai
28,2002,Aventure,12,Froid,Prague
44,662,Historique,6,Tempéré,Kyoto
45,844,Plage,6,Chaud,Cancun
18,1135,Culture,4,Froid,Londres
52,2931,Plage,4,Froid,Queenstown
40,3431,Megalopole,8,Froid,Bangkok
26,1977,Aventure,3,Chaud,Marrakech
34,4292,Aventure,6,Chaud,Bora Bora
57,500,Nature,8,Froid,Bangkok
36,2335,Ile,16,Froid,Kyoto
33,500,Historique,3,Chaud,Marrakech
27,1768,Historique,6,Froid,Machu Picchu
34,1680,Nature,8,Chaud,Zanzibar
36,2675,Megalopole,10,Froid,Prague
50,3120,Aventure,4,Froid,Rome
38,2768,Plage,6,Chaud,Queenstown
55,1000,Plage,13,Froid,Cancun
55,4915,Megalopole,8,Froid,New York
29,1683,Megalopole,9,Froid,Patagonie
49,3750,Historique,8,Froid,Kyoto
36,3213,Megalopole,5,Froid,Tokyo
64,3673,Nature,9,Tempéré,Amsterdam
46,2451,Megalopole,9,Froid,Bangkok
35,811,Nature,6,Tempéré,Amazonie
58,4154,Culture,5,Chaud,Sydney
44,4093,Megalopole,8,Froid,Amazonie
30,2060,Ile,8,Chaud,Bali
46,2682,Plage,10,Tempéré,Barcelone
49,2127,Aventure,6,Tempéré,Queenstown
27,500,Nature,4,Froid,Buenos Aires
31,3273,Plage,7,Tempéré,Le Cap
31,2237,Historique,3,Tempéré,Le Caire
34,2670,Historique,9,Tempéré,Kyoto
23,1134,Ile,17,Chaud,Zanzibar
34,2065,Plage,9,Chaud,Barcelone
31,2482,Nature,5,Tempéré,Amazonie
34,1673,Historique,6,Froid,Kyoto
39,4144,Historique,9,Froid,Rome
57,1902,Culture,11,Chaud,Paris
30,1565,Historique,8,Chaud,Santorin
52,2555,Historique,14,Tempéré,Machu Picchu
38,2655,Plage,6,Tempéré,Buenos Aires
42,3659,Culture,5,Chaud,Bora Bora
20,1247,Aventure,8,Chaud,Patagonie
40,1080,Aventure,3,Tempéré,Queenstown
39,508,Historique,9,Chaud,Le Caire
36,500,Ile,6,Chaud,Le Cap
46,1551,Megalopole,9,Tempéré,Bangkok
28,868,Historique,3,Chaud,Buenos Aires
34,1704,Historique,6,Froid,Zanzibar
28,765,Culture,7,Tempéré,Amsterdam
25,1292,Nature,5,Chaud,Le Caire
48,2350,Plage,10,Froid,Cancun
28,1868,Aventure,4,Chaud,Barcelone
45,2199,Culture,10,Tempéré,Marrakech
20,1553,Ile,8,Froid,Patagonie
46,3883,Historique,5,Tempéré,Paris
55,1890,Nature,8,Tempéré,Kyoto
43,3483,Historique,5,Froid,Le Caire
45,3170,Aventure,9,Tempéré,Queenstown
24,1250,Historique,8,Froid,Le Caire
71,3026,Ile,6,Chaud,Tokyo
32,1712,Plage,6,Chaud,Le Cap
34,5002,Plage,24,Tempéré,Cancun
44,500,Culture,5,Tempéré,Buenos Aires
25,1840,Plage,3,Tempéré,Amsterdam
39,2866,Ile,6,Froid,Prague
27,1320,Megalopole,5,Froid,Bangkok
39,2963,Megalopole,3,Chaud,Iles Galapagos
26,1501,Aventure,5,Chaud,Zanzibar
43,3689,Nature,3,Tempéré,Amazonie
33,1953,Nature,10,Froid,Vancouver
53,1760,Nature,19,Tempéré,Le Cap
33,1365,Megalopole,10,Froid,Patagonie
33,2700,Ile,9,Froid,Vancouver
40,2708,Nature,9,Froid,Iles Galapagos
29,1069,Aventure,4,Froid,Vancouver
30,1353,Historique,6,Chaud,Barcelone
31,2105,Plage,7,Tempéré,Buenos Aires
48,2469,Historique,11,Froid,Rome
65,3582,Ile,8,Chaud,Sydney
46,4940,Aventure,25,Tempéré,Patagonie
43,1221,Megalopole,7,Froid,New York
45,2274,Historique,20,Froid,Le Caire
36,1531,Historique,6,Froid,Bangkok
54,3873,Historique,9,Chaud,Tokyo
44,3696,Historique,12,Chaud,Machu Picchu
23,2117,Nature,5,Tempéré,Amazonie
41,2626,Plage,8,Froid,Amsterdam
28,1560,Historique,6,Chaud,Bali
54,1145,Historique,6,Tempéré,Machu Picchu
18,1748,Plage,9,Froid,Machu Picchu
33,2593,Nature,9,Froid,Patagonie
33,2180,Ile,6,Chaud,Rome
39,2172,Historique,5,Chaud,Marrakech
31,808,Nature,12,Chaud,Zanzibar
51,3139,Nature,8,Chaud,Vancouver
51,3109,Megalopole,16,Tempéré,Paris
46,745,Culture,5,Chaud,Marrakech
34,2390,Culture,11,Chaud,Le Caire
25,1411,Megalopole,3,Tempéré,Patagonie
36,3084,Ile,3,Tempéré,Bora Bora
27,2743,Megalopole,4,Tempéré,Bora Bora
45,2169,Plage,21,Froid,Vancouver
27,1533,Nature,7,Froid,Prague
43,3204,Megalopole,5,Chaud,Rome
37,2660,Historique,9,Froid,Londres
58,5215,Culture,3,Froid,Paris
29,1908,Megalopole,5,Chaud,Iles Galapagos
37,2966,Ile,3,Tempéré,Zanzibar
46,3271,Ile,9,Tempéré,Zanzibar
36,2034,Nature,4,Chaud,Amazonie
25,1560,Aventure,11,Froid,Los Angeles
39,3171,Historique,4,Tempéré,Machu Picchu
67,3345,Culture,11,Froid,Paris
38,2089,Ile,20,Chaud,Bora Bora
51,3801,Megalopole,14,Chaud,Sydney
55,1992,Aventure,14,Chaud,Los Angeles
33,1952,Ile,8,Tempéré,Iles Galapagos
32,2614,Plage,13,Tempéré,Zanzibar
35,1284,Historique,5,Froid,Amsterdam
38,1431,Nature,9,Froid,Bali
58,2779,Culture,3,Tempéré,Buenos Aires
51,1030,Nature,4,Tempéré,Buenos Aires
41,500,Historique,5,Froid,Prague
20,1005,Ile,5,Froid,Bora Bora
34,2658,Aventure,11,Chaud,Zanzibar
22,1300,Historique,7,Tempéré,Prague
48,500,Culture,8,Tempéré,Buenos Aires
29,919,Plage,6,Tempéré,Patagonie
65,5255,Ile,6,Tempéré,Kyoto
32,667,Nature,10,Tempéré,Bangkok
44,2085,Megalopole,13,Chaud,Cancun
28,1990,Ile,4,Froid,Machu Picchu
18,500,Plage,5,Tempéré,Londres
41,1174,Culture,7,Froid,Amsterdam
50,3171,Megalopole,16,Tempéré,Patagonie
30,1538,Aventure,5,Chaud,Dubai
51,1958,Plage,6,Froid,Cancun
39,2339,Culture,3,Froid,Iles Galapagos
34,2428,Historique,10,Froid,Amsterdam
47,1383,Ile,12,Froid,Zanzibar
32,2265,Historique,8,Chaud,Vancouver
35,3071,Nature,12,Chaud,Iles Galapagos
32,1671,Aventure,12,Tempéré,Amazonie
57,3418,Historique,5,Froid,Amsterdam
33,1566,Culture,9,Tempéré,New York
33,1714,Culture,4,Tempéré,Kyoto
41,3847,Megalopole,14,Froid,New York
23,500,Aventure,6,Froid,Patagonie
51,500,Culture,5,Chaud,Bali
53,5486,Ile,8,Chaud,Zanzibar
40,1733,Ile,8,Froid,Barcelone
26,2867,Megalopole,7,Tempéré,Bangkok
44,2389,Ile,9,Froid,Bora Bora
40,1263,Nature,5,Tempéré,Le Cap
42,2414,Plage,14,Chaud,Tokyo
48,1228,Aventure,6,Chaud,Bali
34,1076,Ile,3,Tempéré,Barcelone
21,1334,Historique,8,Froid,Cancun
26,1280,Nature,9,Froid,Le Caire
24,819,Aventure,10,Tempéré,Bangkok
27,3536,Nature,3,Tempéré,Amazonie
34,1950,Culture,7,Chaud,Vancouver
41,2766,Historique,6,Chaud,Iles Galapagos
18,959,Nature,6,Froid,Iles Galapagos
28,500,Culture,4,Tempéré,Paris
54,3769,Megalopole,4,Froid,Rio de Janeiro
55,500,Nature,13,Froid,Machu Picchu
50,2045,Culture,6,Tempéré,Amsterdam
29,1796,Aventure,7,Tempéré,Rome
18,674,Ile,18,Tempéré,Buenos Aires
34,1468,Ile,5,Froid,Rio de Janeiro
44,2548,Historique,15,Chaud,Le Caire
48,3303,Historique,10,Froid,Prague
39,2559,Nature,10,Froid,Iles Galapagos
37,1507,Historique,6,Tempéré,Prague
34,1162,Ile,5,Tempéré,Machu Picchu
50,2661,Ile,4,Froid,Bora Bora
42,1990,Plage,3,Chaud,Barcelone
30,1696,Culture,11,Chaud,Londres
35,2879,Historique,30,Froid,Kyoto
18,711,Historique,3,Chaud,Cancun
50,3265,Plage,5,Tempéré,Los Angeles
39,500,Aventure,5,Tempéré,Santorin
33,1637,Aventure,11,Tempéré,Buenos Aires
44,2254,Plage,5,Chaud,Cancun
32,698,Culture,4,Tempéré,Marrakech
34,3965,Aventure,10,Chaud,Santorin
29,1408,Plage,4,Froid,Amsterdam
33,1641,Historique,10,Tempéré,Machu Picchu
44,2727,Nature,10,Froid,Amazonie
34,2382,Aventure,13,Froid,Machu Picchu
35,3827,Plage,10,Chaud,Buenos Aires
41,3836,Culture,5,Tempéré,Paris
31,1502,Aventure,9,Chaud,Marrakech
44,1769,Aventure,8,Tempéré,Prague
40,2479,Culture,3,Tempéré,Buenos Aires
36,1104,Plage,7,Froid,Rio de Janeiro
43,2425,Culture,7,Froid,Zanzibar
57,4496,Historique,8,Chaud,Prague
18,1218,Plage,8,Tempéré,Vancouver
53,5260,Ile,9,Chaud,Kyoto
48,2396,Nature,8,Froid,Le Cap
41,2046,Ile,10,Froid,Londres
53,3079,Culture,3,Chaud,Le Cap
29,1020,Ile,11,Tempéré,Le Caire
36,3005,Megalopole,8,Froid,Le Caire
38,2489,Plage,16,Chaud,Bali
38,3173,Megalopole,7,Tempéré,New York
49,4120,Historique,4,Froid,Santorin
35,3613,Ile,3,Froid,Patagonie
24,1826,Aventure,11,Tempéré,Machu Picchu
34,1873,Historique,6,Tempéré,Kyoto
26,1065,Nature,3,Tempéré,Le Cap
31,2373,Historique,20,Tempéré,Barcelone
35,2021,Historique,7,Froid,Barcelone
61,1788,Historique,3,Chaud,Rio de Janeiro
28,1425,Megalopole,5,Tempéré,Tokyo
26,1567,Historique,4,Froid,Kyoto
42,1590,Plage,11,Tempéré,New York
24,2786,Megalopole,12,Chaud,Kyoto
32,2685,Historique,8,Chaud,Kyoto
41,2532,Plage,5,Chaud,Santorin
22,500,Historique,4,Froid,Machu Picchu
41,1538,Nature,5,Froid,Sydney
58,3765,Plage,6,Tempéré,Prague
37,500,Historique,4,Tempéré,Kyoto
48,2112,Historique,3,Tempéré,Patagonie
31,986,Nature,9,Chaud,Zanzibar
29,1665,Aventure,3,Chaud,Barcelone
36,1792,Aventure,8,Chaud,Bangkok
64,7016,Ile,9,Tempéré,New York
44,2486,Megalopole,3,Froid,Patagonie
34,2410,Ile,3,Chaud,Bali
45,2386,Nature,6,Tempéré,Le Cap
47,2924,Culture,15,Tempéré,Paris
34,2455,Culture,8,Chaud,Bora Bora
48,500,Plage,14,Chaud,Le Cap
25,1710,Historique,4,Froid,Prague
31,658,Historique,10,Froid,Zanzibar
44,2730,Ile,3,Tempéré,Sydney
26,3100,Historique,4,Chaud,Rome
35,1493,Megalopole,5,Froid,Machu Picchu
43,2879,Ile,6,Chaud,Rio de Janeiro
34,4363,Aventure,10,Froid,Bali
44,2613,Aventure,6,Froid,Vancouver
42,3464,Ile,10,Tempéré,Bora Bora
35,2031,Historique,16,Tempéré,Kyoto
50,4146,Ile,13,Tempéré,Buenos Aires
36,2355,Historique,11,Tempéré,Le Caire
36,1109,Nature,9,Chaud,Barcelone
41,3425,Megalopole,8,Froid,Santorin
35,3487,Ile,7,Chaud,Bora Bora
22,1507,Ile,6,Chaud,Santorin
43,3305,Aventure,14,Tempéré,Paris
38,2806,Plage,5,Chaud,Buenos Aires
35,3978,Ile,8,Froid,Santorin
60,4977,Plage,9,Tempéré,Tokyo
50,2417,Megalopole,4,Chaud,Los Angeles
26,857,Ile,6,Chaud,Bali
41,2392,Ile,13,Tempéré,Zanzibar
60,1571,Ile,3,Froid,Queenstown
25,1111,Nature,10,Tempéré,New York
37,2080,Culture,6,Chaud,Londres
60,4304,Culture,5,Tempéré,Buenos Aires
51,2695,Plage,5,Tempéré,Buenos Aires
49,1413,Nature,9,Chaud,Iles Galapagos
48,3123,Ile,7,Chaud,Bora Bora
41,1612,Historique,5,Froid,Machu Picchu
50,3456,Aventure,11,Froid,Patagonie
37,1531,Historique,7,Froid,Buenos Aires
38,2818,Culture,6,Froid,Bangkok
53,500,Nature,6,Chaud,Le Cap
18,1893,Megalopole,5,Chaud,Prague
24,512,Aventure,4,Froid,Le Caire
25,1483,Megalopole,6,Chaud,Bangkok
26,3326,Plage,3,Chaud,Le Cap
44,3313,Nature,8,Tempéré,New York
29,1707,Historique,10,Tempéré,Prague
25,1983,Plage,3,Froid,Londres
48,3846,Nature,4,Froid,Amazonie
30,2404,Plage,6,Tempéré,Iles Galapagos
53,3965,Historique,5,Tempéré,Queenstown
44,1383,Historique,4,Froid,Amsterdam
19,1285,Historique,5,Froid,Patagonie
53,4064,Aventure,5,Froid,Londres
24,2390,Megalopole,10,Tempéré,Tokyo
44,4172,Historique,3,Tempéré,Paris
24,1481,Nature,17,Chaud,Amsterdam
27,1677,Aventure,3,Froid,Vancouver
44,1224,Nature,3,Chaud,Vancouver
18,1440,Plage,12,Froid,Rio de Janeiro
43,2869,Ile,4,Tempéré,Bali
21,1975,Culture,5,Chaud,Marrakech
45,4646,Culture,3,Froid,Paris
46,4126,Megalopole,3,Tempéré,Tokyo
41,500,Aventure,4,Chaud,Queenstown
26,1617,Nature,13,Froid,Patagonie
18,1325,Ile,5,Chaud,Amsterdam
54,4591,Nature,6,Chaud,Rio de Janeiro
32,1098,Aventure,5,Froid,Amsterdam
46,4618,Aventure,8,Tempéré,Santorin
41,2469,Plage,6,Chaud,Cancun
48,3937,Historique,4,Tempéré,Machu Picchu
39,2385,Plage,20,Froid,Vancouver
33,1936,Megalopole,4,Chaud,Sydney
22,1326,Aventure,5,Chaud,Los Angeles
34,1791,Nature,3,Froid,Iles Galapagos
36,1478,Aventure,6,Froid,Zanzibar
31,2559,Nature,9,Tempéré,Paris
18,704,Megalopole,4,Tempéré,Buenos Aires
44,3222,Megalopole,13,Chaud,Bangkok
35,2441,Historique,17,Froid,Le Caire
37,3573,Plage,9,Chaud,Rio de Janeiro
32,2421,Culture,3,Chaud,Rome
18,1137,Historique,10,Tempéré,Le Caire
47,3148,Aventure,12,Froid,Queenstown
24,1283,Plage,6,Tempéré,Buenos Aires
34,2561,Ile,11,Froid,Bali
50,2083,Ile,6,Chaud,Bora Bora
52,1452,Plage,5,Chaud,Le Cap
33,2511,Plage,6,Tempéré,Tokyo
46,3406,Plage,11,Tempéré,Buenos Aires
42,2400,Megalopole,10,Froid,Patagonie
59,4465,Ile,5,Tempéré,Santorin
37,2599,Megalopole,9,Tempéré,Le Caire
28,1743,Historique,5,Froid,Rome
64,5979,Historique,5,Chaud,Prague
42,4591,Aventure,5,Froid,Queenstown
41,3100,Megalopole,10,Chaud,Marrakech
27,1758,Aventure,10,Froid,Zanzibar
30,1410,Ile,4,Froid,Bali
27,1221,Aventure,5,Chaud,Bali
49,2367,Historique,13,Froid,Prague
18,859,Culture,7,Tempéré,Kyoto
35,2878,Megalopole,7,Froid,Dubai
55,5246,Culture,5,Tempéré,Marrakech
31,2098,Aventure,5,Chaud,Zanzibar
42,3574,Historique,3,Froid,Bora Bora
32,1030,Culture,4,Tempéré,Bangkok
41,2148,Culture,10,Tempéré,Paris
18,668,Historique,16,Chaud,Barcelone
28,2161,Culture,6,Chaud,Amsterdam
40,500,Megalopole,5,Tempéré,Bangkok
29,1025,Historique,5,Chaud,Bangkok
29,2688,Aventure,6,Froid,Patagonie
44,500,Ile,5,Tempéré,Queenstown
39,1229,Megalopole,12,Tempéré,Dubai
44,2077,Ile,5,Tempéré,Machu Picchu
19,500,Aventure,4,Froid,Le Cap
22,1000,Culture,6,Froid,Amsterdam
18,1556,Historique,11,Froid,Le Cap
64,4223,Aventure,21,Tempéré,Prague
40,3306,Historique,6,Froid,Vancouver
24,1385,Nature,5,Tempéré,Vancouver
48,2414,Ile,7,Tempéré,New York
48,1993,Ile,4,Chaud,Le Caire
32,2985,Nature,11,Chaud,Le Cap
34,1387,Nature,11,Tempéré,Zanzibar
50,3235,Historique,9,Froid,Kyoto
26,1250,Ile,13,Tempéré,Zanzibar
39,3307,Historique,10,Chaud,Rio de Janeiro
51,2119,Megalopole,12,Chaud,Bangkok
46,3986,Megalopole,14,Chaud,Rome
38,2729,Culture,15,Chaud,Marrakech
54,2100,Historique,7,Froid,Buenos Aires
49,2642,Ile,9,Tempéré,Bali
38,2571,Ile,4,Froid,Prague
18,728,Nature,7,Froid,Le Cap
39,4133,Aventure,5,Froid,Patagonie
43,2339,Historique,8,Froid,Rome
30,1210,Aventure,5,Froid,Patagonie
54,4093,Historique,12,Chaud,Le Caire
28,750,Megalopole,5,Chaud,Le Caire
43,2571,Ile,4,Froid,Bali
18,500,Culture,6,Chaud,Buenos Aires
41,3000,Historique,7,Tempéré,Le Caire
29,843,Ile,16,Tempéré,Marrakech
46,1596,Ile,5,Froid,Dubai
40,2223,Ile,15,Tempéré,Bora Bora
24,1967,Megalopole,10,Froid,Sydney
46,1308,Plage,8,Tempéré,Tokyo
33,2178,Historique,8,Tempéré,Machu Picchu
27,1498,Nature,6,Froid,Le Cap
30,1989,Culture,10,Froid,Amazonie
48,3611,Ile,13,Tempéré,Queenstown
47,2102,Nature,11,Chaud,Le Cap
